Chr,Gene,MIS,MFS,Number_of_Haplotypes,Number_of_Haplotypes_Above_25_Samples
chr10,PF3D7_1019900,0.282,-2.603,7,2
chr10,PF3D7_1020000,0.323,-2.72,126,6
chr10,PF3D7_1020100,0.146,-2.531,15,2
chr10,PF3D7_1020200,1,-0.037,435,21
chr10,PF3D7_1020300,1,-1.409,219,4
chr10,PF3D7_1020400,0.999,-2.032,263,9
chr10,PF3D7_1020500,0.389,-2.719,179,7
chr10,PF3D7_1020600,1,-2.351,543,10
chr10,PF3D7_1020700,0.995,-1.441,362,10
chr10,PF3D7_1020800,0.136,-2.875,203,5
chr10,PF3D7_1020900,0.251,-3.264,2,1
chr10,PF3D7_1021000,0.12,-2.994,47,2
chr10,PF3D7_1021100,1,-1.281,1093,31
chr10,PF3D7_1021200,0.161,-2.713,263,12
chr10,PF3D7_1021300,0.169,-3.288,154,21
chr10,PF3D7_1021400,0.168,-2.866,68,3
chr10,PF3D7_1021500,0.126,-3.27,264,10
chr10,PF3D7_1021600,0.999,-0.96,23,2
chr10,PF3D7_1021700,0.121,-2.973,758,5
chr10,PF3D7_1021800,1,-2.424,412,9
chr10,PF3D7_1021900,0.385,-2.603,663,15
chr10,PF3D7_1022000,1,-1.001,511,16
chr10,PF3D7_1022100,1,-2.578,56,2
chr10,PF3D7_1022200,0.12,-3.154,162,11
chr10,PF3D7_1022300,1,0.502,36,1
chr10,PF3D7_1022400,1,-1.558,156,7
chr10,PF3D7_1022500,1,-1.91,61,5
chr10,PF3D7_1022600,1,-0.928,226,7
chr10,PF3D7_1022700,1,-1.841,19,2
chr10,PF3D7_1022800,0.133,-3.19,179,9
chr10,PF3D7_1022900,0.997,-2.01,11,1
chr10,PF3D7_1023000,0.771,-3.115,132,5
chr10,PF3D7_1023100,1,-1.791,400,12
chr10,PF3D7_1023200,0.614,-2.664,80,4
chr10,PF3D7_1023300,1,0,17,1
chr10,PF3D7_1023400,1,-1.286,55,7
chr10,PF3D7_1023500,0.955,-2.205,14,2
chr10,PF3D7_1023600,0.953,-2.687,140,9
chr10,PF3D7_1023700,1,-0.49,312,18
chr10,PF3D7_1023800,1,-1.865,496,20
chr10,PF3D7_1023900,1,-2.449,1016,24
chr10,PF3D7_1024000,0.128,-2.923,179,8
chr10,PF3D7_1024100,0.998,-2.57,391,13
chr10,PF3D7_1024200,0.721,-2.759,46,3
chr10,PF3D7_1024300,0.133,-3.265,14,1
chr10,PF3D7_1024400,0.228,-2.758,263,9
chr10,PF3D7_1024500,0.131,-2.769,109,2
chr10,PF3D7_1024600,0.131,-3.262,102,4
chr10,PF3D7_1024700,0.137,-3.019,186,10
chr10,PF3D7_1024800,1,-0.161,471,24
chr10,PF3D7_1024900,0.18,-2.735,697,19
chr10,PF3D7_1025000,0.297,-2.777,387,19
chr10,PF3D7_1025100,0.127,-3.187,143,8
chr10,PF3D7_1025200,0.126,-3.229,82,4
chr10,PF3D7_1025300,0.121,-3.037,276,20
chr10,PF3D7_1025400,0.133,-2.916,506,19
chr10,PF3D7_1025500,1,-0.819,632,0
chr10,PF3D7_1025600,0.373,-3.608,13,2
chr10,PF3D7_1025700,0.12,-3.361,70,3
chr10,PF3D7_1025800,0.373,-3.46,6,1
chr10,PF3D7_1025900,1,-0.237,787,29
chr10,PF3D7_1026000,1,1.464,303,19
chr10,PF3D7_1026100,0.991,-2.559,54,3
chr10,PF3D7_1026200,0.137,-3.112,243,13
chr10,PF3D7_1026300,0.996,-2.721,541,15
chr10,PF3D7_1026400,1,-2.469,237,6
chr10,PF3D7_1026500,1,-1.673,19,2
chr10,PF3D7_1026600,1,-0.348,660,22
chr10,PF3D7_1026800,0.592,-2.415,13,2
chr10,PF3D7_1026900,0.996,-2.487,64,4
chr10,PF3D7_1027000,1,-2.655,733,20
chr10,PF3D7_1027100,1,-2.779,346,15
chr10,PF3D7_1027200,0.995,-2.07,129,3
chr10,PF3D7_1027300,0.68,-2.377,243,11
chr10,PF3D7_1027400,0.145,-2.646,14,3
chr10,PF3D7_1027500,0.528,-2.503,18,2
chr10,PF3D7_1027600,0.124,-3.101,133,7
chr10,PF3D7_1027700,0.888,-2.345,13,1
chr10,PF3D7_1027800,0.121,-3.144,17,1
chr10,PF3D7_1027900,0.999,-0.532,40,1
chr10,PF3D7_1028000,1,-0.846,154,4
chr10,PF3D7_1028100,1,-0.495,230,9
chr10,PF3D7_1028200,0.258,-2.506,56,8
chr10,PF3D7_1028300,0.564,-2.62,155,9
chr10,PF3D7_1028400,0.167,-2.764,170,14
chr10,PF3D7_1028500,0.987,-2.54,593,18
chr10,PF3D7_1028600,0.204,-2.708,60,2
chr10,PF3D7_1028700,1,-1.824,419,20
chr10,PF3D7_1028800,0.996,-2.019,29,3
chr10,PF3D7_1028900,0.758,-2.189,159,5
chr10,PF3D7_1029000,1,-0.195,,
chr10,PF3D7_1029100,0.129,-3.073,843,28
chr10,PF3D7_1029200,0.143,-2.861,264,4
chr10,PF3D7_1029300,0.174,-2.635,417,13
chr10,PF3D7_1029400,0.141,-2.582,95,9
chr10,PF3D7_1029500,1,-2.542,87,6
chr10,PF3D7_1029600,0.121,-2.967,74,6
chr10,PF3D7_1029700,0.127,-2.952,277,9
chr10,PF3D7_1029800,0.12,-2.952,108,4
chr10,PF3D7_1029900,1,-1.826,638,21
chr10,PF3D7_1030000,0.121,-2.724,38,2
chr10,PF3D7_1030100,0.138,-2.78,221,12
chr10,PF3D7_1030200,0.993,-1.904,118,9
chr10,PF3D7_1030300,0.494,-2.461,960,36
chr10,PF3D7_1030400,1,-0.726,145,5
chr10,PF3D7_1030500,0.209,-3.366,101,4
chr10,PF3D7_1030600,0.912,-2.195,198,6
chr10,PF3D7_1030700,0.126,-2.759,89,3
chr10,PF3D7_1030800,0.343,-3.035,80,3
chr10,PF3D7_1030900,0.12,-2.91,91,10
chr10,PF3D7_1031000,1,0.688,32,6
chr10,PF3D7_1031100,0.31,-3.299,125,7
chr10,PF3D7_1031200,0.36,-2.529,62,4
chr10,PF3D7_1031300,1,0.706,548,27
chr10,PF3D7_1031400,1,0.676,522,19
chr10,PF3D7_1031500,1,-1.988,410,12
chr10,PF3D7_1031600,0.151,-2.767,557,20
chr10,PF3D7_1031700,0.996,0,46,2
chr10,PF3D7_1031800,0.966,-2.634,168,6
chr10,PF3D7_1031900,1,-2.329,260,23
chr10,PF3D7_1032000,0.158,-2.8,324,15
chr10,PF3D7_1032100,1,-0.17,1696,49
chr10,PF3D7_1032200,0.189,-3.371,68,4
chr10,PF3D7_1032300,0.119,-2.997,517,23
chr10,PF3D7_1032400,0.798,-2.212,42,5
chr10,PF3D7_1032500,0.592,-2.35,35,2
chr10,PF3D7_1032600,0.992,-2.219,137,16
chr10,PF3D7_1032700,0.423,-3.485,161,9
chr10,PF3D7_1032800,0.129,-2.804,58,3
chr10,PF3D7_1032900,0.12,-3.103,1651,43
chr10,PF3D7_1033000,0.121,-3.132,260,15
chr10,PF3D7_1033100,0.18,-2.799,3107,43
chr10,PF3D7_1033200,1,-1.511,249,26
chr10,PF3D7_1033300,0.151,-2.963,27,1
chr10,PF3D7_1033400,0.767,-2.311,59,6
chr10,PF3D7_1033500,1,-1.143,296,10
chr10,PF3D7_1033600,0.12,-3.012,401,12
chr10,PF3D7_1033700,0.169,-3.254,92,3
chr10,PF3D7_1033800,0.141,-2.891,207,5
chr10,PF3D7_1033900,0.943,-2.173,12,1
chr10,PF3D7_1034000,0.144,-3.254,142,8
chr10,PF3D7_1034100,0.193,-2.731,26,3
chr10,PF3D7_1034200,0.492,-2.25,81,5
chr10,PF3D7_1034300,0.869,-2.634,251,9
chr10,PF3D7_1034400,0.295,-2.831,86,5
chr10,PF3D7_1034500,0.161,-2.851,1453,50
chr10,PF3D7_1034600,0.126,-3.087,131,6
chr10,PF3D7_1034700,0.49,-2.895,9,2
chr10,PF3D7_1034800,0.169,-3.102,190,22
chr10,PF3D7_1034900,0.123,-2.954,416,28
chr10,PF3D7_1035000,0.12,-3.08,1403,98
chr10,PF3D7_1035100,0.925,-2.293,825,88
chr10,PF3D7_1035200,1,-1.218,3,0
chr10,PF3D7_1035300,0.996,-1.886,905,35
chr10,PF3D7_1035400,0.321,-2.753,49,7
chr10,PF3D7_1035500,0.565,-2.477,140,17
chr10,PF3D7_1035600,0.999,-2.559,134,13
chr10,PF3D7_1035700,1,-2.342,474,48
chr10,PF3D7_1035800,1,-2.143,43,6
chr10,PF3D7_1035900,0.732,-3.053,10,1
chr10,PF3D7_1036000,0.391,-2.514,98,11
chr10,PF3D7_1036300,1,0.844,402,31
chr10,PF3D7_1036400,1,-1.5,37,1
chr10,PF3D7_1036500,0.696,-2.608,241,11
chr10,PF3D7_1036600,0.135,0,39,1
chr10,PF3D7_1036700,0.926,-2.399,50,3
chr10,PF3D7_1036800,0.992,-2.771,108,13
chr10,PF3D7_1036900,0.141,-2.875,607,38
chr10,PF3D7_1037000,1,-2.782,957,25
chr10,PF3D7_1037100,0.119,-3.01,185,8
chr10,PF3D7_1037200,0.994,-0.579,245,10
chr10,PF3D7_1037300,0.178,-2.537,13,2
chr10,PF3D7_1037400,0.156,-3.201,862,28
chr10,PF3D7_1037500,0.124,-3.127,43,3
chr10,PF3D7_1037600,0.681,-2.927,103,6
chr10,PF3D7_1037700,0.466,-2.772,8,1
chr10,PF3D7_1037800,0.994,-2.085,311,9
chr10,PF3D7_1037900,0.123,-3.074,53,5
chr10,PF3D7_1038000,0.161,-3.19,9,1
chr10,PF3D7_1038100,0.12,-3.024,498,18
chr10,PF3D7_1038200,0.125,0,15,2
chr10,PF3D7_1038300,0.996,-0.712,114,7
chr10,PF3D7_1038400,1,0.25,0,0
chr10,PF3D7_1038500,1,0.78,104,7
chr10,PF3D7_1038600,0.137,-2.751,234,29
chr10,PF3D7_1038700,0.13,-2.943,90,5
chr10,PF3D7_1038800,1,-2.763,430,20
chr10,PF3D7_1038900,0.123,-3.112,37,8
chr10,PF3D7_1039000,0.996,-0.296,645,54
chr10,PF3D7_1039100,1,0.237,,
chr10,PF3D7_1039200,0.581,-2.146,,
chr10,PF3D7_1039400,1,-0.858,,
chr10,PF3D7_1039600,0.965,-2.725,,
chr10,PF3D7_1039700,0.802,-2.78,,
chr10,PF3D7_1039800,0.795,-2.707,,
chr10,PF3D7_1039900,0.149,-2.751,,
chr10,PF3D7_1040000,1,1.967,,
chr10,PF3D7_1040100,0.976,-2.193,,
chr10,PF3D7_1040200,0.26,-2.605,,
chr10,PF3D7_1040300,0.295,-2.484,,
chr10,PF3D7_1040400,1,-1.715,,
chr10,PF3D7_1040500,1,-0.715,,
chr10,PF3D7_1040600,1,-1.511,,
chr10,PF3D7_1040700,0.394,-2.695,,
chr10,PF3D7_1040800,1,-1.55,,
chr10,PF3D7_1040900,0.659,-2.613,,
chr10,PF3D7_1041000,1,-2.127,,
chr10,PF3D7_1041100,1,-1.565,,
chr10,PF3D7_1041200,0.203,-2.73,,
chr11,PF3D7_1100100,1,-1.565,,
chr11,PF3D7_1100200,1,-2.315,,
chr11,PF3D7_1100300,0.601,-2.385,,
chr11,PF3D7_1100400,0.916,-1.162,,
chr11,PF3D7_1100500,0.12,-3.412,,
chr11,PF3D7_1100600,0.722,-3.087,,
chr11,PF3D7_1100700,0.941,0,,
chr11,PF3D7_1100800,0.484,-2.64,,
chr11,PF3D7_1100900,0.119,-3.205,,
chr11,PF3D7_1101000,0.88,-2.258,,
chr11,PF3D7_1101100,0.168,-2.894,,
chr11,PF3D7_1101200,0.879,-2.031,,
chr11,PF3D7_1101300,0.543,-2.706,,
chr11,PF3D7_1101400,0.5,-2.421,,
chr11,PF3D7_1101500,0.149,-2.738,,
chr11,PF3D7_1101600,0.795,-2.761,,
chr11,PF3D7_1101700,0.643,-2.954,,
chr11,PF3D7_1101800,0.127,-3.027,,
chr11,PF3D7_1101900,0.99,0,,
chr11,PF3D7_1102100,0.581,0,,
chr11,PF3D7_1102200,1,-0.651,,
chr11,PF3D7_1102300,1,-1.745,144,8
chr11,PF3D7_1102400,0.997,-0.546,409,27
chr11,PF3D7_1102500,0.234,-2.787,425,47
chr11,PF3D7_1102600,0.399,-2.549,173,11
chr11,PF3D7_1102700,1,0,49,4
chr11,PF3D7_1102800,0.128,-3.558,28,9
chr11,PF3D7_1102900,0.119,0,136,11
chr11,PF3D7_1103000,0.91,0,207,48
chr11,PF3D7_1103100,0.165,-3.15,12,2
chr11,PF3D7_1103300,,,11,1
chr11,PF3D7_1103400,0.205,-2.678,345,18
chr11,PF3D7_1103500,0.999,-1.039,199,14
chr11,PF3D7_1103600,0.282,-2.74,78,6
chr11,PF3D7_1103700,0.121,-2.886,32,3
chr11,PF3D7_1103800,1,-0.505,1647,34
chr11,PF3D7_1103900,0.998,-1.755,37,3
chr11,PF3D7_1104000,0.13,-2.954,235,4
chr11,PF3D7_1104100,0.643,-2.567,99,2
chr11,PF3D7_1104200,0.126,-2.968,480,15
chr11,PF3D7_1104300,0.129,-2.949,882,33
chr11,PF3D7_1104400,0.136,-3.098,67,2
chr11,PF3D7_1104500,1,-2.578,318,14
chr11,PF3D7_1104600,1,-1.322,526,22
chr11,PF3D7_1104700,0.279,-3.238,37,1
chr11,PF3D7_1104800,0.186,-2.767,45,1
chr11,PF3D7_1104900,1,0.473,855,15
chr11,PF3D7_1105000,0.261,-3.385,1,1
chr11,PF3D7_1105100,,,4,1
chr11,PF3D7_1105200,0.995,-1.389,237,7
chr11,PF3D7_1105300,0.219,-2.787,332,17
chr11,PF3D7_1105400,0.129,-2.943,19,2
chr11,PF3D7_1105500,0.16,-3.291,41,1
chr11,PF3D7_1105600,0.12,-3.132,536,31
chr11,PF3D7_1105700,0.164,-2.833,137,6
chr11,PF3D7_1105800,0.121,-2.751,21,3
chr11,PF3D7_1105900,0.363,-2.731,56,3
chr11,PF3D7_1106000,0.119,-3.016,60,4
chr11,PF3D7_1106100,0.169,0,76,3
chr11,PF3D7_1106200,0.153,-3.243,333,10
chr11,PF3D7_1106300,0.222,-2.887,244,14
chr11,PF3D7_1106400,0.219,-2.776,31,3
chr11,PF3D7_1106500,0.124,-3.079,414,6
chr11,PF3D7_1106600,0.13,-2.958,609,13
chr11,PF3D7_1106700,1,-1.732,393,11
chr11,PF3D7_1106800,1,-1.998,1168,27
chr11,PF3D7_1106900,0.132,-2.926,59,1
chr11,PF3D7_1107000,0.808,-2.083,49,4
chr11,PF3D7_1107100,1,-1.612,307,10
chr11,PF3D7_1107200,0.399,-2.629,463,26
chr11,PF3D7_1107300,1,-2.463,1915,37
chr11,PF3D7_1107400,0.307,-2.691,13,3
chr11,PF3D7_1107500,0.126,-3.062,62,3
chr11,PF3D7_1107600,1,1.162,714,21
chr11,PF3D7_1107700,0.12,-3.042,371,12
chr11,PF3D7_1107800,0.337,-2.559,1222,25
chr11,PF3D7_1107900,1,-0.395,782,20
chr11,PF3D7_1108000,1,-1.92,487,20
chr11,PF3D7_1108100,1,-1.799,391,11
chr11,PF3D7_1108200,0.138,-3.341,31,2
chr11,PF3D7_1108300,0.916,-0.971,28,1
chr11,PF3D7_1108400,0.134,-3.148,12,3
chr11,PF3D7_1108500,1,1.366,81,3
chr11,PF3D7_1108600,0.129,-3.259,51,4
chr11,PF3D7_1108700,0.143,-3.27,120,6
chr11,PF3D7_1108800,0.449,-3.306,94,3
chr11,PF3D7_1108900,0.359,-2.431,289,11
chr11,PF3D7_1109100,1,0.102,1686,56
chr11,PF3D7_1109200,0.318,-2.449,122,4
chr11,PF3D7_1109400,0.38,0,182,8
chr11,PF3D7_1109900,0.122,-2.914,31,2
chr11,PF3D7_1110000,1,0,47,2
chr11,PF3D7_1110100,0.128,-2.914,537,25
chr11,PF3D7_1110200,0.871,-2.907,619,20
chr11,PF3D7_1110300,1,-1.823,172,14
chr11,PF3D7_1110400,0.561,-2.48,704,27
chr11,PF3D7_1110500,0.126,-2.866,321,14
chr11,PF3D7_1110600,0.121,-3.06,55,3
chr11,PF3D7_1110700,0.385,-2.459,72,4
chr11,PF3D7_1110800,0.121,-3.226,89,2
chr11,PF3D7_1110900,0.999,-2.311,368,8
chr11,PF3D7_1111000,0.125,-2.971,396,16
chr11,PF3D7_1111100,0.12,-2.946,33,1
chr11,PF3D7_1111200,0.813,-1.904,350,10
chr11,PF3D7_1111300,0.127,-3.041,88,3
chr11,PF3D7_1111400,0.214,-3.486,69,5
chr11,PF3D7_1111500,1,-0.156,58,4
chr11,PF3D7_1111600,0.122,-2.893,371,16
chr11,PF3D7_1111700,0.129,-3.174,454,17
chr11,PF3D7_1111800,0.687,-2.425,119,3
chr11,PF3D7_1111900,0.295,-1.886,68,4
chr11,PF3D7_1112000,0.528,0,15,1
chr11,PF3D7_1112100,0.946,-2.931,958,21
chr11,PF3D7_1112200,0.166,-3.307,53,1
chr11,PF3D7_1112300,0.128,-3.134,380,17
chr11,PF3D7_1112400,0.122,-3.514,37,2
chr11,PF3D7_1112500,0.133,-3.178,149,3
chr11,PF3D7_1112600,0.134,-2.843,361,22
chr11,PF3D7_1112700,1,-0.655,632,20
chr11,PF3D7_1112800,1,-1.219,141,5
chr11,PF3D7_1112900,0.347,-2.471,124,4
chr11,PF3D7_1113000,1,-0.862,3854,31
chr11,PF3D7_1113100,0.133,-2.801,24,2
chr11,PF3D7_1113200,0.449,-3.474,60,4
chr11,PF3D7_1113300,0.121,-3.023,59,6
chr11,PF3D7_1113400,0.752,-2.802,84,4
chr11,PF3D7_1113500,0.998,-1.91,368,13
chr11,PF3D7_1113600,0.79,-3.022,263,19
chr11,PF3D7_1113700,0.234,-2.7,90,2
chr11,PF3D7_1113800,0.12,-3.023,146,4
chr11,PF3D7_1113900,0.183,-3.258,74,3
chr11,PF3D7_1114000,1,-1.62,81,5
chr11,PF3D7_1114100,0.274,-2.546,56,2
chr11,PF3D7_1114200,0.218,-3.46,30,1
chr11,PF3D7_1114300,,,10,1
chr11,PF3D7_1114400,0.119,-3.162,243,14
chr11,PF3D7_1114500,0.119,-3.103,222,6
chr11,PF3D7_1114600,1,-2.644,188,10
chr11,PF3D7_1114700,0.449,-2.375,198,6
chr11,PF3D7_1114800,0.158,-2.721,129,9
chr11,PF3D7_1114900,0.138,-2.828,1120,28
chr11,PF3D7_1115000,0.12,-3.137,45,2
chr11,PF3D7_1115100,0.934,-2.623,118,6
chr11,PF3D7_1115200,0.983,-2.078,246,13
chr11,PF3D7_1115300,0.91,-2.729,164,21
chr11,PF3D7_1115400,0.978,-1.959,158,8
chr11,PF3D7_1115500,0.213,-2.677,87,5
chr11,PF3D7_1115600,1,0.755,33,1
chr11,PF3D7_1115700,0.12,-2.998,102,13
chr11,PF3D7_1115800,1,-0.171,227,9
chr11,PF3D7_1115900,1,-1.266,63,6
chr11,PF3D7_1116000,0.524,-2.539,529,21
chr11,PF3D7_1116100,1,-2.431,906,22
chr11,PF3D7_1116200,0.861,-2.264,61,3
chr11,PF3D7_1116300,0.794,0,24,1
chr11,PF3D7_1116400,0.169,-2.709,264,10
chr11,PF3D7_1116500,0.334,-3.043,34,2
chr11,PF3D7_1116600,0.917,-2.76,251,19
chr11,PF3D7_1116700,1,-1.432,237,18
chr11,PF3D7_1116800,0.119,-3.014,85,10
chr11,PF3D7_1116900,0.818,-1.914,28,3
chr11,PF3D7_1117000,1,-1.25,572,17
chr11,PF3D7_1117100,0.121,-2.89,132,4
chr11,PF3D7_1117200,1,0.133,1083,26
chr11,PF3D7_1117300,0.204,-3.323,21,3
chr11,PF3D7_1117400,0.161,-2.944,206,9
chr11,PF3D7_1117500,0.122,-3.112,190,6
chr11,PF3D7_1117600,0.189,0.277,42,1
chr11,PF3D7_1117700,0.492,0,3,1
chr11,PF3D7_1117800,0.154,-2.822,254,9
chr11,PF3D7_1117900,1,-0.009,1231,35
chr11,PF3D7_1118000,0.375,-2.552,23,2
chr11,PF3D7_1118100,0.153,-3.131,10,1
chr11,PF3D7_1118200,0.151,-2.791,398,20
chr11,PF3D7_1118300,1,-0.04,484,20
chr11,PF3D7_1118400,0.992,-2.562,32,2
chr11,PF3D7_1118500,0.123,-2.956,209,10
chr11,PF3D7_1118600,0.313,-2.619,116,4
chr11,PF3D7_1118700,0.337,-2.562,229,5
chr11,PF3D7_1118800,1,-1.87,109,5
chr11,PF3D7_1118900,0.182,-2.829,70,3
chr11,PF3D7_1119000,1,-2.654,117,6
chr11,PF3D7_1119100,1,-1.404,98,3
chr11,PF3D7_1119200,0.967,-2.035,73,6
chr11,PF3D7_1119300,0.996,-1.955,64,3
chr11,PF3D7_1119400,1,-2.279,823,19
chr11,PF3D7_1119500,0.175,-2.88,54,3
chr11,PF3D7_1119600,0.141,-2.915,338,17
chr11,PF3D7_1119700,0.999,-2.788,106,10
chr11,PF3D7_1119800,0.121,-2.88,22,2
chr11,PF3D7_1119900,1,-0.099,1285,26
chr11,PF3D7_1120000,0.155,-2.903,16,1
chr11,PF3D7_1120100,0.127,-3.154,16,1
chr11,PF3D7_1120200,,,13,1
chr11,PF3D7_1120300,1,0.316,154,5
chr11,PF3D7_1120400,0.122,-3.033,200,21
chr11,PF3D7_1120500,0.169,-3.259,239,6
chr11,PF3D7_1120600,1,-0.375,493,10
chr11,PF3D7_1120700,1,-2.812,552,17
chr11,PF3D7_1120800,0.189,-2.627,19,2
chr11,PF3D7_1120900,0.497,-3.491,25,3
chr11,PF3D7_1121000,0.795,-2.768,32,2
chr11,PF3D7_1121100,0.69,-2.246,483,17
chr11,PF3D7_1121200,0.121,-3.041,29,1
chr11,PF3D7_1121300,1,-0.436,460,19
chr11,PF3D7_1121400,1,-2.087,117,2
chr11,PF3D7_1121500,0.194,-3.409,156,5
chr11,PF3D7_1121600,0.988,-1.886,80,16
chr11,PF3D7_1121700,1,-1.396,143,8
chr11,PF3D7_1121800,1,-0.86,543,22
chr11,PF3D7_1121900,0.249,-3.434,213,6
chr11,PF3D7_1122000,0.12,-2.992,98,5
chr11,PF3D7_1122100,0.137,-3.131,118,3
chr11,PF3D7_1122200,0.999,-2.57,138,7
chr11,PF3D7_1122300,0.999,-0.447,62,5
chr11,PF3D7_1122400,0.124,-3.071,221,8
chr11,PF3D7_1122500,0.125,-2.929,681,16
chr11,PF3D7_1122600,1,-1.496,583,16
chr11,PF3D7_1122700,0.165,-3.326,78,3
chr11,PF3D7_1122800,1,-0.818,482,17
chr11,PF3D7_1122900,1,-1.219,972,20
chr11,PF3D7_1123000,0.991,-2.752,1270,37
chr11,PF3D7_1123100,0.214,-2.689,404,13
chr11,PF3D7_1123200,0.148,-3.192,277,8
chr11,PF3D7_1123300,1,-0.807,170,8
chr11,PF3D7_1123400,0.27,-2.63,94,4
chr11,PF3D7_1123500,1,-0.283,331,14
chr11,PF3D7_1123600,0.133,-3.281,279,12
chr11,PF3D7_1123700,0.119,-3.094,56,2
chr11,PF3D7_1123800,0.413,-3.252,450,15
chr11,PF3D7_1123900,0.12,-3.123,7,1
chr11,PF3D7_1124000,0.121,-3.107,71,20
chr11,PF3D7_1124100,0.243,-2.721,1501,38
chr11,PF3D7_1124200,1,-2.195,149,7
chr11,PF3D7_1124300,0.218,-2.632,218,10
chr11,PF3D7_1124400,0.119,-3.029,37,1
chr11,PF3D7_1124500,0.492,-2.286,249,8
chr11,PF3D7_1124600,0.121,-3.067,76,9
chr11,PF3D7_1124700,0.122,-2.922,129,12
chr11,PF3D7_1124800,0.177,-2.848,63,3
chr11,PF3D7_1124900,0.12,0,25,2
chr11,PF3D7_1125000,0.121,-2.945,76,2
chr11,PF3D7_1125100,0.12,-3.052,377,26
chr11,PF3D7_1125200,0.161,-2.743,43,1
chr11,PF3D7_1125300,0.147,-2.841,368,9
chr11,PF3D7_1125400,0.121,-2.949,112,7
chr11,PF3D7_1125500,0.999,0,17,1
chr11,PF3D7_1125600,0.12,0,30,2
chr11,PF3D7_1125700,0.79,-2.968,304,25
chr11,PF3D7_1125800,1,-1.254,185,13
chr11,PF3D7_1125900,0.132,-3.114,11,1
chr11,PF3D7_1126000,0.119,-2.949,527,22
chr11,PF3D7_1126100,0.127,-2.95,1784,35
chr11,PF3D7_1126200,0.125,-2.983,15,1
chr11,PF3D7_1126300,0.129,-2.879,343,21
chr11,PF3D7_1126400,0.14,-2.959,60,1
chr11,PF3D7_1126500,0.127,-2.957,654,26
chr11,PF3D7_1126600,1,-0.059,441,30
chr11,PF3D7_1126700,0.917,-3.049,259,15
chr11,PF3D7_1126800,0.994,-2.184,1416,43
chr11,PF3D7_1126900,0.12,0,12,1
chr11,PF3D7_1127000,1,-0.05,87,15
chr11,PF3D7_1127100,0.847,0,43,4
chr11,PF3D7_1127200,1,0,19,1
chr11,PF3D7_1127300,0.985,-1.218,81,2
chr11,PF3D7_1127400,0.123,-3.027,61,2
chr11,PF3D7_1127500,0.339,-2.769,114,4
chr11,PF3D7_1127600,0.178,-3.244,17,3
chr11,PF3D7_1127700,1,-2.261,237,7
chr11,PF3D7_1127800,0.198,-2.706,457,15
chr11,PF3D7_1127900,0.123,-2.962,136,5
chr11,PF3D7_1128000,0.158,-2.838,663,19
chr11,PF3D7_1128100,1,-2.205,57,5
chr11,PF3D7_1128200,0.176,-2.575,17,2
chr11,PF3D7_1128300,1,-2.821,364,17
chr11,PF3D7_1128400,0.142,-2.868,61,6
chr11,PF3D7_1128500,0.126,-3.032,411,17
chr11,PF3D7_1128600,1,-0.9,277,8
chr11,PF3D7_1128700,0.214,-2.706,246,16
chr11,PF3D7_1128900,0.124,-2.893,219,20
chr11,PF3D7_1129000,0.166,-2.784,79,12
chr11,PF3D7_1129100,1,-2.111,448,36
chr11,PF3D7_1129200,0.157,-2.738,50,3
chr11,PF3D7_1129300,1,-0.027,1181,34
chr11,PF3D7_1129400,0.12,-3.043,272,11
chr11,PF3D7_1129500,0.991,0.125,302,11
chr11,PF3D7_1129600,1,-2.223,807,21
chr11,PF3D7_1129700,0.182,-3.273,39,3
chr11,PF3D7_1129800,0.122,-3.043,102,5
chr11,PF3D7_1129850,0.993,-2.402,,
chr11,PF3D7_1129900,1,-1.042,132,14
chr11,PF3D7_1130000,0.167,-2.855,678,17
chr11,PF3D7_1130100,0.12,-3.006,13,1
chr11,PF3D7_1130200,0.208,-2.596,53,1
chr11,PF3D7_1130400,0.125,-3.028,31,1
chr11,PF3D7_1130500,0.124,-3.024,438,8
chr11,PF3D7_1130600,1,-0.3,488,16
chr11,PF3D7_1130700,0.133,-3.279,1189,41
chr11,PF3D7_1130800,0.957,-1.495,74,8
chr11,PF3D7_1130900,0.121,-2.999,772,24
chr11,PF3D7_1131000,1,-1.091,130,8
chr11,PF3D7_1131100,0.547,-2.479,579,26
chr11,PF3D7_1131200,1,0.989,100,6
chr11,PF3D7_1131300,0.136,-2.819,382,22
chr11,PF3D7_1131400,0.126,-2.973,986,18
chr11,PF3D7_1131500,0.202,-2.568,103,8
chr11,PF3D7_1131600,1,-0.414,1383,26
chr11,PF3D7_1131700,0.903,-2.516,73,2
chr11,PF3D7_1131800,1,-0.001,1368,35
chr11,PF3D7_1131900,0.151,-2.791,420,20
chr11,PF3D7_1132000,0.585,-3.037,392,11
chr11,PF3D7_1132100,1,-1.641,840,33
chr11,PF3D7_1132200,0.174,-2.998,58,3
chr11,PF3D7_1132300,0.125,-3.046,23,1
chr11,PF3D7_1132400,1,-0.766,829,23
chr11,PF3D7_1132500,1,-0.049,1071,30
chr11,PF3D7_1132600,1,0.832,175,7
chr11,PF3D7_1132700,0.371,-2.291,76,2
chr11,PF3D7_1132800,0.151,-2.791,31,4
chr11,PF3D7_1132900,0.967,-2.008,62,4
chr11,PF3D7_1133000,0.251,-3.362,18,9
chr11,PF3D7_1133100,0.131,-2.945,300,11
chr11,PF3D7_1133200,0.997,-2.594,757,26
chr11,PF3D7_1133300,0.119,-3.087,46,5
